SP,MA_min,MA_max,LP_min,LP_max
ACCNIS,110,300,185,240
ACRARU,22,38,84,102
ACRMEL,10,13,53,61
ACRRIS,10,18.5,62.5,75
ACRSCH,8.5,16,55,76
ACRSCI,7.2,23,47,79
AEGCAU,6,12,49,70
ALCATT,28,52,72,84
ANTTRI,16,28,67,97
CAPEUR,61,85,181,205
CARCHL,18,35,70,95
CARINA,9.5,22.5,65,91
CARLIS,11.4,25.1,68,85
CERYLA,6,14,51,75
CETCET,9,19,45,72
COCTES,43,67,95,126
DENMAJ,39,90,121,144
DENMIN,16,24,79,94
EMBCIR,15,37,61,88
EMBCIT,14,40,70,100
EMBSCH,10,30,62,91
ERIRUB,10,30,65,83
FICUCA,10,15,74,83
FRICOE,12,30,65,99
GARGLA,100,200,160,201
HIPICT,10,17,70,85
HIPPOL,8,19,55,80
HIRRUS,14,25,100,133
JYNTOR,28,42,73,93
LANRIO,19,45,72,110
LOCLUS,11,25,60,78
LOCNAE,8.4,20,59,71
LOXCUR,30,45,90,105
LULARB,18,35,80,102
LUSMEG,10,30,63,100
LUSSVE,12,22,59,81
MILCAL,NA,NA,NA,NA
MOTALB,16,25,80,100
MOTCIN,15,22,78,90
MOTFLA,12,22,70,90
MUSSTR,11,20,80,93
PANBIA,9.5,21,48,70
PAPALU,6,15,54,73
PARATE,7,12,55,70
PARCAE,6,15,52,75
PARCRI,6,15,57,70
PARMAJ,10,30,48,100
PARNUS,7.5,17,52,72
PASDOM,18,40,65,95
PASMON,11,31,61,75
PHOOCH,11,22,74,92
PHOPHO,11,20,70,85
PHYBON,5,12,54,70
PHYCOL,4.5,12,45,82
PHYLUS,5.5,14,46,80
PICDIS,142,226,145,171
PRUMOD,10,30,60,80
PYRULA,13,34,60,95
REGIGN,4,8,49,60
REGREG,3,8,47,60
SAXTOR,11,20,54,78
SERLLA,11,16,70,85
SERSER,9,15,63,80
SITEUR,14.5,27,60,100
STRTUR,124,205,170,190
STUVUL,49,91,110,140
SYLALA,9,18,55,65
SYLATR,9.5,30,65,80
SYLBOR,9.5,30,61,90
SYLCAN,6,16,52,66
SYLCOM,8.5,22,55,80
SYLCUR,8,19,56,75
SYLHOR,15,25,74,85
SYLUND,7,15,48,60
TROTRO,5,15,35,65
TURMER,50,135,100,150
TURPHI,40,100,100,138
TURVIS,65,136,140,166
