SP;HABITAT_SP;MIGRATION
ACCNIS;Terrestre;Long
ACRAGR;Aquatique;Court
ACRARU;Aquatique;Long
ACRMEL;Aquatique;Court
ACRRIS;Aquatique;Long
ACRSCH;Aquatique;Long
ACRSCI;Aquatique;Long
ACRSPE;Aquatique;Long
ACTHYP;Aquatique;Long
AEGCAU;Terrestre;Court
ALAARV;Terrestre;Court
ALCATT;Aquatique;Court
ALEUFA;Terrestre;Court
ANAHOS;Aquatique;Court
ANTPRA;Terrestre;Court
ANTRIS;Terrestre;Court
ANTTRI;Terrestre;Long
APUAPU;Terrestre;Long
ASIOTU;Terrestre;Court
ATHNOC;Terrestre;Court
BUROED;Terrestre;Long
BUTBUT;Terrestre;Court
CAPEUR;Terrestre;Long
CARCHL;Terrestre;Court
CARINA;Terrestre;Court
CARLIS;Terrestre;Court
CARMEA;Terrestre;Court
CARNUS;Terrestre;Court
CERRIS;Terrestre;Court
CERYLA;Terrestre;Court
CETCET;Aquatique;Court
CICLUS;Aquatique;Court
CISJUN;Aquatique;Court
COCTES;Terrestre;Court
CODULA;Terrestre;Court
COLBUS;Terrestre;Court
COLLIV;Terrestre;Court
COLNAS;Terrestre;Court
CORFRU;Terrestre;Court
CORGAR;Terrestre;Long
CORONE;Terrestre;Court
CUCCAN;Terrestre;Long
DELURB;Terrestre;Long
DENMAJ;Terrestre;Court
DENMED;Terrestre;Court
DENMIN;Terrestre;Court
DRYMAR;Terrestre;Court
EMBAUR;Terrestre;Court
EMBCIA;Terrestre;Court
EMBCIR;Terrestre;Court
EMBCIT;Terrestre;Court
EMBHOR;Terrestre;Long
EMBSCH;Aquatique;Court
ERIRUB;Terrestre;Court
FALTEO;Terrestre;Court
FALTIN;Terrestre;Court
FICALB;Terrestre;Long
FICUCA;Terrestre;Long
FRICOE;Terrestre;Court
GALAGO;Aquatique;Court
GALATA;Terrestre;Court
GALCHL;Aquatique;Court
GARGLA;Terrestre;Court
HIMHIM;Aquatique;Long
HIPICT;Terrestre;Long
HIPPAL;Terrestre;Long
HIPPOL;Terrestre;Long
HIRRUP;Terrestre;Court
HIRRUS;Terrestre;Long
IXOMIN;Aquatique;Long
JYNTOR;Terrestre;Long
LAITOR;Terrestre;Court
LANMER;Terrestre;Court
LANRIO;Terrestre;Long
LANSEN;Terrestre;Long
LOCLUS;Aquatique;Long
LOCNAE;Aquatique;Long
LOXCUR;Terrestre;Court
LULARB;Terrestre;Court
LUSMEG;Terrestre;Long
LUSSVE;Aquatique;Long
MERAPI;Terrestre;Long
MILCAL;Terrestre;Court
MILMIG;Terrestre;Long
MOTALB;Terrestre;Court
MOTCIN;Terrestre;Court
MOTFLA;Terrestre;Long
MUSSTR;Terrestre;Long
NYCNYC;Aquatique;Long
OENOEN;Terrestre;Long
ORIORI;Terrestre;Long
OTUSCO;Terrestre;Long
PANBIA;Aquatique;Court
PAPALU;Terrestre;Court
PARATE;Terrestre;Court
PARCAE;Terrestre;Court
PARCRI;Terrestre;Court
PARMAJ;Terrestre;Court
PARNUS;Terrestre;Court
PASDOM;Terrestre;Court
PASMON;Terrestre;Court
PETPET;Terrestre;Court
PHACUS;Terrestre;Court
PHFUSC;Terrestre;
PHOOCH;Terrestre;Court
PHOPHO;Terrestre;Long
PHYBON;Terrestre;Long
PHYCOL;Terrestre;Court
PHYLUS;Terrestre;Long
PHYSIB;Terrestre;Long
PICCAN;Terrestre;Court
PICDIS;Terrestre;Court
PICPIC;Terrestre;Court
PORANA;Aquatique;Long
PRUMOD;Terrestre;Court
PYRULA;Terrestre;Court
RALAQU;Aquatique;Court
REGIGN;Terrestre;Court
REGREG;Terrestre;Court
REMPEN;Aquatique;Long
RIPRIP;Terrestre;Long
SAXRUB;Terrestre;Long
SAXTOR;Terrestre;Court
SERLIS;Terrestre;Court
SERLLA;Terrestre;Court
SERSER;Terrestre;Court
SITEUR;Terrestre;Court
SPESPE;Terrestre;
STRALU;Terrestre;Court
STRCTO;Terrestre;Court
STRTUR;Terrestre;Long
STUVUL;Terrestre;Court
SYLALA;Terrestre;Court
SYLATR;Terrestre;Court
SYLBOR;Terrestre;Long
SYLCAN;Terrestre;Long
SYLCOM;Terrestre;Long
SYLCUR;Terrestre;Long
SYLHOR;Terrestre;Long
SYLSAR;Terrestre;Long
SYLUND;Terrestre;Court
TRIOCH;Aquatique;Long
TRITOT;Aquatique;Court
TROTRO;Terrestre;Court
TURILI;Terrestre;Court
TURMER;Terrestre;Court
TURPHI;Terrestre;Court
TURPIL;Terrestre;Court
TURTOR;Terrestre;Long
TURVIS;Terrestre;Court
TYTALB;Terrestre;Court
UPUEPO;Terrestre;Long
SCORUS;Terrestre;Court
STUUNI;Terrestre;Court
PASITA;Terrestre;Court
DOMITA;Terrestre;Court
CLAGLA;Terrestre;Long
CARERY;Terrestre;Court
